Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,Winter_Jan_Feb,Pre_Monsoon_Mar_May,Monsoon_Jun_Sep,Post_Monsoon_Oct_Dec
1901,41.4,31.8,19.6,91.6,129.1,270.2,340.3,400.0,255.9,85.9,51.2,7.8,1724.9,73.2,240.3,1266.4,145.0
1902,4.7,4.2,49.6,160.6,160.8,312.6,438.3,337.7,373.0,57.8,6.3,3.2,1908.8,8.9,371.0,1461.6,67.3
1903,14.4,21.9,55.4,53.0,112.0,345.8,249.5,411.8,273.8,174.1,27.6,0.3,1739.6,36.3,220.3,1280.9,202.0
1904,5.0,29.8,33.2,162.7,212.8,321.3,452.7,372.6,198.5,90.8,30.0,2.4,1912.0,34.8,408.8,1345.2,123.2
1905,22.0,35.5,118.5,104.6,163.3,235.4,446.6,484.3,316.2,113.4,5.2,12.9,2058.0,57.5,386.4,1482.6,131.5
1906,22.3,82.7,49.8,77.9,151.0,284.2,436.0,425.8,230.2,115.0,17.0,0.8,1892.7,104.9,278.7,1376.1,132.9
1907,21.0,40.9,80.9,110.8,108.1,374.4,381.8,311.5,295.4,33.9,2.0,21.3,1782.0,61.8,299.8,1363.1,57.2
1908,18.0,28.1,8.6,66.1,164.6,287.2,384.3,304.8,260.7,70.7,20.3,0.1,1613.4,46.0,239.3,1237.0,91.2
1909,13.8,7.6,1.8,135.3,144.7,475.2,307.1,441.0,236.6,97.8,17.5,20.0,1898.3,21.3,281.8,1460.0,135.2
1910,14.4,14.8,47.7,87.2,144.7,398.4,458.7,368.3,261.3,144.5,13.0,1.0,1954.1,29.2,279.5,1486.8,158.6
1911,28.9,7.3,58.8,93.8,195.3,407.8,367.3,394.8,322.9,175.8,22.3,0.7,2075.6,36.1,347.8,1492.8,198.8
1912,4.2,30.3,72.6,144.1,148.9,276.7,436.2,370.6,183.1,104.3,66.7,3.3,1840.8,34.5,365.5,1266.5,174.3
1913,4.4,78.4,65.9,104.2,206.2,470.0,387.6,372.7,245.9,140.9,23.3,30.4,2130.0,82.8,376.3,1476.2,194.6
1914,2.0,50.6,44.4,116.7,212.0,240.5,366.9,429.6,209.9,44.6,5.5,23.5,1746.1,52.6,373.1,1246.9,73.6
1915,8.6,43.0,55.8,90.0,289.5,309.4,432.7,406.9,244.4,106.3,33.8,1.2,2021.7,51.6,435.3,1393.4,141.4
1916,13.9,25.1,40.1,146.5,180.2,474.1,412.2,415.2,316.5,257.7,31.1,2.7,2315.3,39.0,366.7,1618.0,291.5
1917,6.9,69.9,22.1,122.0,141.1,457.4,482.9,373.3,313.3,225.8,30.0,0.4,2245.1,76.8,285.2,1627.0,256.2
1918,4.0,6.3,77.9,108.3,309.3,638.9,580.4,552.7,318.4,48.2,10.4,3.4,2658.3,10.3,495.4,2090.5,62.1
1919,39.9,22.5,17.0,110.4,178.3,457.9,503.3,311.7,357.2,240.9,31.3,3.0,2273.5,62.5,305.8,1630.0,275.2
1920,3.9,61.4,214.9,120.2,133.6,363.8,441.8,465.3,330.7,84.2,2.0,0.8,2222.7,65.3,468.8,1601.6,87.0
